pfaf_id,bau30_ws_x_r,bau30_ws_x_s,bau30_ws_x_c,bau30_ws_x_l,bau50_ws_x_r,bau50_ws_x_s,bau50_ws_x_c,bau50_ws_x_l,bau80_ws_x_r,bau80_ws_x_s,bau80_ws_x_c,bau80_ws_x_l,opt30_ws_x_r,opt30_ws_x_s,opt30_ws_x_c,opt30_ws_x_l,opt50_ws_x_r,opt50_ws_x_s,opt50_ws_x_c,opt50_ws_x_l,opt80_ws_x_r,opt80_ws_x_s,opt80_ws_x_c,opt80_ws_x_l,pes30_ws_x_r,pes30_ws_x_s,pes30_ws_x_c,pes30_ws_x_l,pes50_ws_x_r,pes50_ws_x_s,pes50_ws_x_c,pes50_ws_x_l,pes80_ws_x_r,pes80_ws_x_s,pes80_ws_x_c,pes80_ws_x_l,pfaf_prefix
783806,0.000111627,0.0,0.0,Low (<10%),9.99e-05,0.0,0.0,Low (<10%),9.1e-05,0.0,0.0,Low (<10%),0.000106025,0.0,0.0,Low (<10%),9.56e-05,0.0,0.0,Low (<10%),9.3e-05,0.0,0.0,Low (<10%),0.000105445,0.0,0.0,Low (<10%),0.000102286,0.0,0.0,Low (<10%),8.23e-05,0.0,0.0,Low (<10%),7
783809,6.83e-08,0.0,0.0,Low (<10%),5.92e-08,0.0,0.0,Low (<10%),5.73e-08,0.0,0.0,Low (<10%),6.44e-08,0.0,0.0,Low (<10%),5.64e-08,0.0,0.0,Low (<10%),5.58e-08,0.0,0.0,Low (<10%),6.37e-08,0.0,0.0,Low (<10%),6.27e-08,0.0,0.0,Low (<10%),4.7e-08,0.0,0.0,Low (<10%),7
783808,6.35e-08,0.0,0.0,Low (<10%),5.6e-08,0.0,0.0,Low (<10%),5.22e-08,0.0,0.0,Low (<10%),6.08e-08,0.0,0.0,Low (<10%),5.27e-08,0.0,0.0,Low (<10%),5.19e-08,0.0,0.0,Low (<10%),6.21e-08,0.0,0.0,Low (<10%),5.95e-08,0.0,0.0,Low (<10%),4.56e-08,0.0,0.0,Low (<10%),7
783901,3.63e-06,0.0,0.0,Low (<10%),3.48e-06,0.0,0.0,Low (<10%),3.22e-06,0.0,0.0,Low (<10%),3.75e-06,0.0,0.0,Low (<10%),4.31e-06,0.0,0.0,Low (<10%),4.92e-06,0.0,0.0,Low (<10%),3.79e-06,0.0,0.0,Low (<10%),4.29e-06,0.0,0.0,Low (<10%),4.92e-06,0.0,0.0,Low (<10%),7
783902,2.2e-07,0.0,0.0,Low (<10%),2.27e-07,0.0,0.0,Low (<10%),2.64e-07,0.0,0.0,Low (<10%),2.36e-07,0.0,0.0,Low (<10%),2.66e-07,0.0,0.0,Low (<10%),3.54e-07,0.0,0.0,Low (<10%),2.26e-07,0.0,0.0,Low (<10%),2.43e-07,0.0,0.0,Low (<10%),2.98e-07,0.0,0.0,Low (<10%),7
783903,1.19e-06,0.0,0.0,Low (<10%),1.22e-06,0.0,0.0,Low (<10%),1.17e-06,0.0,0.0,Low (<10%),1.28e-06,0.0,0.0,Low (<10%),1.67e-06,0.0,0.0,Low (<10%),2.34e-06,0.0,0.0,Low (<10%),1.28e-06,0.0,0.0,Low (<10%),1.55e-06,0.0,0.0,Low (<10%),1.99e-06,0.0,0.0,Low (<10%),7
783904,1.35e-05,0.0,0.0,Low (<10%),1.26e-05,0.0,0.0,Low (<10%),1.05e-05,0.0,0.0,Low (<10%),1.34e-05,0.0,0.0,Low (<10%),1.24e-05,0.0,0.0,Low (<10%),1.28e-05,0.0,0.0,Low (<10%),1.33e-05,0.0,0.0,Low (<10%),1.27e-05,0.0,0.0,Low (<10%),1.12e-05,0.0,0.0,Low (<10%),7
783905,0.005513824,0.0,0.0,Low (<10%),0.005166166,0.0,0.0,Low (<10%),0.004599948,0.0,0.0,Low (<10%),0.0054666,0.0,0.0,Low (<10%),0.006032164,0.0,0.0,Low (<10%),0.006655829,0.0,0.0,Low (<10%),0.005560586,0.0,0.0,Low (<10%),0.006029275,0.0,0.0,Low (<10%),0.00672564,0.0,0.0,Low (<10%),7
783906,2.26e-05,0.0,0.0,Low (<10%),2.12e-05,0.0,0.0,Low (<10%),1.97e-05,0.0,0.0,Low (<10%),2.13e-05,0.0,0.0,Low (<10%),2.06e-05,0.0,0.0,Low (<10%),1.89e-05,0.0,0.0,Low (<10%),2.18e-05,0.0,0.0,Low (<10%),2e-05,0.0,0.0,Low (<10%),1.84e-05,0.0,0.0,Low (<10%),7
783907,0.000241689,0.0,0.0,Low (<10%),0.000217951,0.0,0.0,Low (<10%),0.000178738,0.0,0.0,Low (<10%),0.000232631,0.0,0.0,Low (<10%),0.000258504,0.0,0.0,Low (<10%),0.000302572,0.0,0.0,Low (<10%),0.000237239,0.0,0.0,Low (<10%),0.000261872,0.0,0.0,Low (<10%),0.000305748,0.0,0.0,Low (<10%),7
783908,0.000104727,0.0,0.0,Low (<10%),9.39e-05,0.0,0.0,Low (<10%),8.27e-05,0.0,0.0,Low (<10%),9.73e-05,0.0,0.0,Low (<10%),9.71e-05,0.0,0.0,Low (<10%),9.78e-05,0.0,0.0,Low (<10%),9.79e-05,0.0,0.0,Low (<10%),9.85e-05,0.0,0.0,Low (<10%),9.83e-05,0.0,0.0,Low (<10%),7
783909,8.74e-06,0.0,0.0,Low (<10%),8.01e-06,0.0,0.0,Low (<10%),5.76e-06,0.0,0.0,Low (<10%),9.35e-06,0.0,0.0,Low (<10%),1.42e-05,0.0,0.0,Low (<10%),1.96e-05,0.0,0.0,Low (<10%),9.68e-06,0.0,0.0,Low (<10%),1.53e-05,0.0,0.0,Low (<10%),2.19e-05,0.0,0.0,Low (<10%),7
711100,3.38e-09,0.0,0.0,Low (<10%),2.57e-09,0.0,0.0,Low (<10%),3.53e-09,0.0,0.0,Low (<10%),3.18e-09,0.0,0.0,Low (<10%),2.88e-09,0.0,0.0,Low (<10%),3.57e-09,0.0,0.0,Low (<10%),3.21e-09,0.0,0.0,Low (<10%),3.09e-09,0.0,0.0,Low (<10%),2.88e-09,0.0,0.0,Low (<10%),7
711200,5.58e-09,0.0,0.0,Low (<10%),4.79e-09,0.0,0.0,Low (<10%),4.61e-09,0.0,0.0,Low (<10%),5.19e-09,0.0,0.0,Low (<10%),5.19e-09,0.0,0.0,Low (<10%),5.38e-09,0.0,0.0,Low (<10%),5.5e-09,0.0,0.0,Low (<10%),4.77e-09,0.0,0.0,Low (<10%),4.66e-09,0.0,0.0,Low (<10%),7
711300,1.12e-08,0.0,0.0,Low (<10%),1.04e-08,0.0,0.0,Low (<10%),1.25e-08,0.0,0.0,Low (<10%),1.17e-08,0.0,0.0,Low (<10%),9.79e-09,0.0,0.0,Low (<10%),1.07e-08,0.0,0.0,Low (<10%),1.11e-08,0.0,0.0,Low (<10%),1.22e-08,0.0,0.0,Low (<10%),1.03e-08,0.0,0.0,Low (<10%),7
711401,2.15e-08,0.0,0.0,Low (<10%),1.9e-08,0.0,0.0,Low (<10%),2.08e-08,0.0,0.0,Low (<10%),2.1e-08,0.0,0.0,Low (<10%),1.92e-08,0.0,0.0,Low (<10%),2.19e-08,0.0,0.0,Low (<10%),2.05e-08,0.0,0.0,Low (<10%),2e-08,0.0,0.0,Low (<10%),1.89e-08,0.0,0.0,Low (<10%),7
711403,6.39e-07,0.0,0.0,Low (<10%),5.5e-07,0.0,0.0,Low (<10%),5.28e-07,0.0,0.0,Low (<10%),5.8e-07,0.0,0.0,Low (<10%),5.53e-07,0.0,0.0,Low (<10%),5.63e-07,0.0,0.0,Low (<10%),6.1e-07,0.0,0.0,Low (<10%),5.73e-07,0.0,0.0,Low (<10%),5.01e-07,0.0,0.0,Low (<10%),7
711402,4.64e-06,0.0,0.0,Low (<10%),3.98e-06,0.0,0.0,Low (<10%),4.15e-06,0.0,0.0,Low (<10%),4.53e-06,0.0,0.0,Low (<10%),4.09e-06,0.0,0.0,Low (<10%),4.71e-06,0.0,0.0,Low (<10%),4.44e-06,0.0,0.0,Low (<10%),4.16e-06,0.0,0.0,Low (<10%),4.02e-06,0.0,0.0,Low (<10%),7
711404,1.27e-05,0.0,0.0,Low (<10%),1.12e-05,0.0,0.0,Low (<10%),1.21e-05,0.0,0.0,Low (<10%),1.27e-05,0.0,0.0,Low (<10%),1.16e-05,0.0,0.0,Low (<10%),1.33e-05,0.0,0.0,Low (<10%),1.26e-05,0.0,0.0,Low (<10%),1.18e-05,0.0,0.0,Low (<10%),1.13e-05,0.0,0.0,Low (<10%),7
