id,state,state_abb,county,county_id,operator,name,sqft,lon,lat,type,bws_annual_mean_score,bws_annual_label,bws_state_score,bws_state_label,bws_state_category,merge_method
1426525221,Texas,TX,Ellis County,139,,Compass Data Center,251941.0,-96.7884905818255,32.545296653507904,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1426525217,Texas,TX,Ellis County,139,,Compass Data Center,251939.0,-96.79361041648713,32.54267431004566,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1426525220,Texas,TX,Ellis County,139,,Compass Data Center,251923.0,-96.7885069389561,32.543965285497585,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1426525218,Texas,TX,Ellis County,139,,Compass Data Center,251912.0,-96.7936108455581,32.54399253578879,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1426525219,Texas,TX,Ellis County,139,,Compass Data Center,251911.0,-96.7936475711988,32.54529698511378,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1375475073,Iowa,IA,Dallas County,49,Microsoft,Microsoft,250498.0,-93.86344214206296,41.53181414495484,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1375475072,Iowa,IA,Dallas County,49,Microsoft,Microsoft,250494.0,-93.86346169206516,41.53283774495582,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1375475071,Iowa,IA,Dallas County,49,Microsoft,Microsoft,250490.0,-93.86343863715008,41.53391629522377,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1173569101,Iowa,IA,Dallas County,49,Microsoft,Microsoft,250486.0,-93.86344403715006,41.534990295223466,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
79818498,Virginia,VA,Fairfax County,59,CoreSite,CoreSite Reston VA3,249707.0,-77.37236980053557,38.94846756695561,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
1069388156,South Carolina,SC,Berkeley County,15,Google,Google,249320.0,-80.0435751320087,33.06415660970066,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
713410334,Georgia,GA,Douglas County,97,,Centersquare Atlanta ATL1,249314.0,-84.58121647346032,33.74422840992556,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1426525215,Texas,TX,Ellis County,139,,Compass Data Center,248989.0,-96.80209902095476,32.541602011729644,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1426525214,Texas,TX,Ellis County,139,,Compass Data Center,248988.0,-96.8020853923652,32.542912612627966,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1426525213,Texas,TX,Ellis County,139,,Compass Data Center,248985.0,-96.8020805923652,32.54420541262749,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1426525212,Texas,TX,Ellis County,139,,Compass Data Center,248978.0,-96.80209872095472,32.54551791172823,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1173822723,Washington,WA,Chelan County,7,,EAT12,248918.0,-120.15954624801124,47.3574330116489,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1091128478,Arizona,AZ,Maricopa County,13,Microsoft,PHX-11,248866.0,-112.3648033961419,33.40903088866142,building,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
19787207,Virginia,VA,Prince William County,153,Microsoft,Microsoft Data Center 1,248706.0,-77.58237918867958,38.8024111256264,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
1368776077,Iowa,IA,Polk County,153,,,248069.0,-93.71976722360252,41.516863672550784,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1426525216,Texas,TX,Ellis County,139,,Compass Data Center,247998.0,-96.80210588253378,32.54029016067398,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1318322073,Iowa,IA,Warren County,181,Microsoft,Microsoft,247201.0,-93.7870205983035,41.494749896092024,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1318322071,Iowa,IA,Warren County,181,Microsoft,Microsoft,247197.0,-93.78705539830352,41.49580619609169,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1447029365,Virginia,VA,Prince William County,153,Microsoft,Microsoft Data Center 2,247070.0,-77.58337970648039,38.79995610690815,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
1128589934,Virginia,VA,Loudoun County,107,,,247061.0,-77.55943345346945,39.0696544548206,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
283051475,Washington,WA,Grant County,25,,,246778.0,-119.81966487505578,47.2525738060569,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
795384117,Arizona,AZ,Maricopa County,13,Microsoft,PHX-10,246184.0,-112.36482981743816,33.40794624396243,building,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
1071772119,Washington,WA,Douglas County,17,Microsoft,Microsoft EAT02,246129.0,-120.20768784943974,47.416868024109554,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1427613544,Ohio,OH,Licking County,89,Vantage,Vantage Building 1,245446.0,-82.74695373508102,40.10249753450011,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1382205749,Ohio,OH,Cuyahoga County,35,T5 Data Centers,T5@Cleveland,244723.0,-81.80215430324107,41.44246938202044,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
