state,state_abb,county,county_id,dc_count,total_sqft,bws_score,bws_category,mean_lat,mean_lon,bws_label
Pennsylvania,PA,Allegheny County,3,2,87448.0,0.0,Low,40.439372902021155,-80.11632494590026,Low (<10%)
Michigan,MI,Eaton County,45,2,95922.0,0.0,Low,42.69667086228964,-84.65454187055624,Low (<10%)
Maryland,MD,Anne Arundel County,3,2,123251.0,1.0327845999313867,Low-Medium,39.17684670564269,-76.64463809540473,Low-Medium (10-20%)
Pennsylvania,PA,Lehigh County,77,2,195243.0,2.7631098605069795,Medium-High,40.58996575346173,-75.55594309535164,Medium-High (20-40%)
Maine,ME,Cumberland County,5,2,55383.0,0.5836515114680867,Low,43.77645494131252,-70.09226452273563,Low (<10%)
Kentucky,KY,Jefferson County,111,2,71319.0,0.0,Low,38.25984692073248,-85.62029607867696,Low (<10%)
Florida,FL,Duval County,31,2,30201.0,3.627764763128227,High,30.28858900942557,-81.62207413488971,High (40-80%)
Oregon,OR,Wasco County,65,2,2588328.0,0.0,Low,45.635288454626405,-121.20185310595801,Low (<10%)
Indiana,IN,Tippecanoe County,157,2,0.0,1.4675159482607316,Low-Medium,40.42182214999998,-86.91535,Low-Medium (10-20%)
Ohio,OH,Butler County,17,2,1543625.0,1.3767943342968627,Low,39.35058502468337,-84.50779754288232,Low (<10%)
Texas,TX,Denton County,121,2,322224.0,3.251119947474543,High,33.00544180383952,-97.24572254474292,High (40-80%)
Oregon,OR,Multnomah County,51,2,41556.0,0.0,Low,45.521484190998606,-122.68063301806403,Low (<10%)
Georgia,GA,Muscogee County,215,2,537455.0,2.4067750503401553,Medium-High,32.49818175768699,-84.88357126460332,Medium-High (20-40%)
Georgia,GA,Fayette County,113,2,567827.0,0.983400082047516,Low,33.4496462037806,-84.52313538953436,Low (<10%)
Georgia,GA,Cobb County,67,2,96218.0,3.0418803781110464,High,33.99810744643619,-84.57876175807407,High (40-80%)
Florida,FL,Orange County,95,2,115951.0,3.627764763128227,High,28.597705763098958,-81.47899195918816,High (40-80%)
Missouri,MO,Jackson County,95,2,0.0,0.0,Low,39.10104435000002,-94.57998305,Low (<10%)
Texas,TX,Montgomery County,339,2,126121.0,2.4927001092003507,Medium-High,30.177959675371554,-95.48628637313081,Medium-High (20-40%)
Oregon,OR,Deschutes County,17,1,11249.0,1.1023945406428632,Low-Medium,44.04740740013566,-121.3285496442757,Low-Medium (10-20%)
Oregon,OR,Linn County,43,1,2521.0,0.0,Low,44.77521879334287,-122.6159312375102,Low (<10%)
Oregon,OR,Josephine County,33,1,0.0,0.33052156869272514,Low,42.43788240000002,-123.3286299,Low (<10%)
Oregon,OR,Lane County,39,1,0.0,0.0,Low,43.797155399999994,-123.05594560000002,Low (<10%)
Puerto Rico,PR,Guaynabo Municipio,61,1,0.0,0.4808796015236186,Low,18.41743590000001,-66.10898950000002,Low (<10%)
