pfaf_id,bws_annual_mean_raw,bws_annual_mean_score,bws_annual_max_raw,bws_annual_max_score,bws_summer_mean_raw,bws_summer_mean_score,n_arid_months,n_raw_masked_months,bwd_annual_mean_raw,bwd_annual_mean_score,iav_annual_mean_raw,iav_annual_mean_score,is_arid,bws_category,bws_annual_label,pfaf_prefix
283983,0.011236854546884958,0.0,0.0160023302779266,0.0,0.010250847715095634,0.0,0,0,0.0031912901319099338,0.06382580263819936,0.4363820024981873,1.7455280099927493,False,Low,Low (<10%),2
283984,0.3952237259513642,2.9384565312706257,0.5161302097361568,3.367735075808979,0.3696142260637581,2.8751253846459375,0,0,0.09178631594811977,1.208931579740599,0.35801008023787295,1.432040320951492,False,Medium-High,Medium-High (20-40%),2
283985,0.013364950396031285,0.0,0.0208078422878421,0.0,0.012501744153894032,0.0,0,0,0.004505279868657391,0.09010559737314865,0.5237011236825003,2.0948044947300013,False,Low,Low (<10%),2
283986,0.050890347622881256,0.20990843282230823,0.0878354715266204,0.8128755813307651,0.042865600128033164,0.056246653661781866,0,0,0.016452994618622614,0.3290598923724535,0.45616492455020047,1.8246596982008019,False,Low,Low (<10%),2
283987,0.005455807641469758,0.0,0.0079564595191586,0.0,0.0059788948747279665,0.0,0,0,0.002360426316692692,0.047208526333855035,0.553091395209817,2.212365580839268,False,Low,Low (<10%),2
283988,0.3745241722946185,2.7313226489702735,0.6225741623140281,3.6382457042164886,0.31586109084604097,2.6145014321050426,0,0,0.0801311086022667,1.093283853301008,0.6115333557951786,2.4461334231807146,False,Medium-High,Medium-High (20-40%),2
283989,0.1258662690418297,1.221830132118369,0.1805754395027961,1.85260168176067,0.127720715583537,1.3168419222334677,0,0,0.037833803572830886,0.7538224087020491,0.4744389805494993,1.8977559221979972,False,Low-Medium,Low-Medium (10-20%),2
283990,0.049071004097293175,0.10770582217561653,0.0641183963501153,0.3588102481555052,0.05134235863904744,0.0955047485750341,0,0,0.01411208866708779,0.28224177334175665,0.3710481779191301,1.4841927116765206,False,Low,Low (<10%),2
284001,1.386347328814633e-05,0.0,3.326315765359968e-05,0.0,2.5973213198351714e-05,0.0,0,0,1.0535795991076046e-05,0.0002107159198214933,0.5243286820723099,2.0973147282892395,False,Low,Low (<10%),2
284002,3.9977061446349236,3.812744076698342,17.897318194735867,5.0,12.254085246386213,5.0,0,0,1.6086012391394997,2.7656029183819615,0.548182010052202,2.1927280402088076,False,High,High (40-80%),2
284004,1.9518894629301027,3.0539266642879963,9.040091733713316,5.0,6.333591993196215,5.0,0,0,0.7508775001076398,2.182022591310707,0.47097086531338467,1.8838834612535387,False,High,High (40-80%),2
